assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
8,0,0,15906,0,1,0,3134,0,31032,8,0,0,0,False,False,False,False,10275,0,0,2,1,2,0,2,1,455,697,97,8467,8,0,0,0,147833,14600,25578,0,0,100,0,72,6,2,12,5,4,100,13,5,153490,0,0,5991,0,202,172,183,1,0,4960,0,1430,0,0,11,0,14,0,1,9,False,0,0,4,0,0,0,0,0,0.0,0,0.2529753237424039,8,3,0,0,0.0,0.0,0,0,24,0,0,0,0,0,0,0.0,0,2,1838.54117575054,0.0,0.0,3,0,0,0.0,0,0,1.25,1,0,0,0,0.0,0,1,0,3,11,39,0.0,0,0,1.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,22,72,0,0,9,0,4,0,10,0,0,0,0,0,0.1984199194527807,0,2,0,0,0,0,5,9,0,-0.162234365940094,0.4779877518436835,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.221396283121976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.4918222158148,-0.1305382784815933,-54.5976349749264,347.4276281787606,479.63026971099424,1157.7439918532511
8,0,0,12656,0,3,5852,8704,5852,19194,6,1,0,0,False,False,False,False,10350,0,0,1,0,3,0,0,1,389,0,0,7984,10,0,0,0,119960,18791,18019,0,0,93,0,61,6,3,12,3,4,200,14,7,134170,0,0,6955,0,166,157,179,1,0,14210,0,883,2,2,5,0,18,2,2,7,False,0,0,5,0,0,0,0,0,0.2257720163636063,1,0.2467643269815716,6,1,0,0,0.0,0.0,0,0,26,0,0,0,0,0,0,0.0,0,0,1442.6012831605424,0.0,0.0,6,0,0,0.0,0,0,1.8333333333333333,0,0,0,1,0.0,0,0,0,7,30,68,0.0,0,0,44.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,10,90,0,1,6,0,0,0,11,0,0,4,0,0,0.2800379954503839,0,0,0,0,4,2,0,7,1,0.2269394397735595,0.7608572198687145,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.60078608757142,-0.4575068715827218,-111.09098672704091,428.2680233352079,781.5465112646297,1118.3131602832932
3,0,0,10513,0,4,4137,4137,4137,34294,11,1,0,0,False,False,False,True,8575,0,0,3,0,2,0,0,1,339,797,311,19107,0,0,0,0,92912,17083,23300,0,0,86,0,49,6,3,12,5,4,100,12,0,95555,0,0,3646,0,148,238,259,1,0,1845,0,2004,1,1,9,0,15,1,1,6,False,0,0,0,0,0,150,0,0,0.3628426573545663,1,0.3050122523895124,11,14,0,0,0.0,0.0,0,0,22,0,0,0,0,0,1,872.2938025699647,0,0,1606.9021939204924,0.0,0.0,2,0,0,0.0,0,0,0.4545454545454545,0,0,0,0,1.0,0,0,0,3,25,54,0.0,0,0,42.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,70,81,0,1,5,0,5,1,5,0,0,1,0,0,0.2225987671925973,0,0,0,0,2,1,0,6,0,-0.4027252197265625,0.5890314932802715,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.21845147085337,-1.0454898912678467,-112.68887470879862,322.1229032845612,649.4732560254616,1658.2589843248693
7,0,0,17930,0,5,7000,29703,7000,37999,5,3,0,0,False,False,False,False,13500,0,0,1,1,3,0,2,1,1413,10001,1076,12869,12,0,0,0,165091,17381,22676,0,0,107,0,107,11,6,12,4,4,200,14,0,196341,0,6,5094,0,208,300,165,1,0,21248,107,1051,3,3,9,0,28,4,7,4,False,0,0,0,1,0,0,1,0,0.4218034642310674,3,0.248210468937366,5,27,0,2,1.0,0.0,0,0,23,3,0,0,0,0,1,860.5178726964542,0,1,2258.4980137432703,0.0,0.0,6,0,0,0.0,0,0,2.0,3,0,0,2,0.0,0,0,1,7,7,54,0.0,0,0,34.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,137,37,0,1,1,0,6,0,10,0,0,2,0,2,0.1608138597535476,0,2,0,0,2,3,5,10,0,0.0588033199310302,0.7658377764331483,7,2,2,733.385073288205,0.0,0.0,0.0,1657.0667385272968,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.639412220683504,-0.0265663284337164,-28.82446635058236,357.6093470462573,493.20388737194617,972.2479216887216
2,0,0,15353,0,3,6808,6808,6808,31310,10,1,0,0,True,False,False,False,13025,0,0,2,1,4,603,2,1,410,410,410,14824,0,0,0,0,179549,13039,21737,0,0,95,0,63,5,6,14,4,12,100,8,0,185381,0,0,5991,0,248,116,308,1,0,5421,2287,1520,3,3,9,0,17,1,2,9,False,0,0,0,0,0,500,0,0,0.0,1,0.267888564522503,10,2,0,0,0.0,0.0,0,0,13,0,0,0,0,0,0,0.0,0,0,1866.8350177,0.0,0.0,2,0,0,0.0,0,0,0.6,0,0,0,1,0.0,0,0,0,1,25,63,0.0,0,0,27.0,0,1.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,17,53,0,0,8,0,2,0,6,0,0,3,0,0,0.1580888167702806,0,0,0,0,1,3,0,12,0,0.1042548418045044,0.5650597626727716,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.031328339218778,-0.2571196680204634,-101.9158084116112,448.54526086169847,505.78652695475415,1223.9217597359086
1,0,8,9157,0,2,5773,8784,5773,8262,0,1,1,0,False,True,False,False,5625,0,0,0,1,8,0,8,2,0,0,0,2768,0,0,0,0,70268,9755,9697,0,0,41,0,31,3,4,14,3,4,200,4,0,76032,0,0,3897,0,124,65,0,1,0,5764,596,1500,1,1,0,0,9,1,0,6,True,0,0,0,0,0,0,0,0,0.2289839565955075,1,0.3085262308945173,0,1,0,0,1.0,0.0,0,0,9,0,0,0,0,0,1,887.7049461327332,0,0,926.2566469242056,0.0,0.0,0,0,0,0.0,0,0,9.0,0,0,1,2,1.0,0,1,0,4,22,64,1.0,1,0,48.0,0,4.0,0,0.0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,11,47,0,8,5,0,4,0,9,0,0,9,0,0,0.3346502015934259,0,1,0,0,5,1,0,5,0,0.4850332736968994,0.6115451433328302,0,0,1,0.0,0.0,0.0,870.6682559474481,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.6372747005654,0.518214904685351,283.9817677675723,590.2467764366147,670.5053097997585,904.6736698544514
1,0,1,7846,0,4,3291,3291,3291,4298,2,3,0,0,False,False,False,False,6775,0,0,0,1,3,0,2,1,563,77,77,4911,0,0,0,0,51565,4727,3582,0,0,38,0,25,3,1,14,2,4,100,3,0,51694,0,0,1057,0,122,29,57,1,0,52,52,300,1,1,0,0,11,3,1,7,True,0,0,0,0,0,0,0,0,0.477787913513194,3,0.2051570469335681,2,1,0,0,1.0,0.0,0,0,9,0,0,0,0,0,1,693.6306496,0,0,918.110215,0.0,0.0,2,0,0,0.0,0,1,2.0,0,0,0,3,0.0,0,0,0,4,7,79,0.0,0,0,29.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,15,0,2,4,0,0,0,4,0,0,4,0,0,0.1470356159748675,0,1,0,0,5,1,5,5,0,0.1605178117752075,0.743219366288494,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.34185462145196,0.1307032620261174,84.95712031697632,458.637746449646,317.34752019941305,574.7022431288383
9,0,3,14905,0,5,10108,11134,10108,25313,6,2,0,0,False,False,False,False,10600,1,2,0,1,6,0,3,1,243,0,0,5302,8,0,0,0,122895,21009,21557,0,0,82,0,68,7,3,12,4,4,100,12,0,125458,0,2,4687,0,156,241,163,1,0,2563,0,1672,3,4,2,0,27,2,1,11,True,0,0,0,0,0,0,0,0,0.2986844187924427,2,0.3138635462331269,6,13,0,0,0.0,0.0,0,0,17,2,0,0,0,0,0,0.0,0,1,1532.1608371389532,0.0,0.0,4,0,0,0.0,0,0,2.5,0,0,1,1,0.0,0,0,0,6,27,60,0.0,0,0,32.0,1,3.0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,1,67,77,0,3,9,0,10,0,15,0,0,2,1,1,0.2218252289774177,0,0,0,0,3,4,0,7,0,0.633879542350769,1.0904281378004117,1,1,0,0.0,0.0,0.0,0.0,1219.9502407757832,0.0,21.311477636569407,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112.62525174721613,0.2741226572428765,155.85831083237835,459.3512527798488,822.7204151450846,1117.2847905423585
2,0,0,10965,0,4,3900,4060,3900,32190,6,1,0,0,False,True,False,False,8800,0,0,1,1,4,0,3,1,645,1790,426,14373,4,0,0,0,86553,13740,24448,0,0,94,0,60,8,7,14,4,12,100,8,4,89588,0,0,2173,0,134,93,220,1,0,1245,1245,769,1,2,8,0,13,2,1,9,False,0,0,3,0,0,150,0,0,0.6821827740608353,1,0.3293776746826291,6,6,0,0,1.0,0.0,0,0,19,0,0,0,0,0,0,0.0,0,1,1598.2686846898723,0.0,0.0,1,0,0,0.0,0,0,1.0,1,0,1,3,0.0,0,0,0,1,14,66,0.0,0,0,23.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,35,72,0,3,4,0,7,0,6,0,0,3,0,0,0.2281633067138609,0,2,0,0,3,2,0,6,0,-0.4269323348999023,0.4911360836915017,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.866086176624542,-0.2252437299488567,-91.5991168458684,335.87594197540346,578.5385203736384,1486.270752067531
11,0,2,21710,0,4,8473,17446,8473,62440,10,3,0,0,False,False,False,False,15625,2,3,1,3,10,0,2,1,383,0,0,10352,46,0,0,0,240069,32642,40399,0,0,134,0,117,14,8,14,5,4,100,10,23,254988,0,12,17674,0,202,220,371,1,0,14919,1954,11032,2,4,6,0,27,3,0,8,True,0,0,19,1,0,825,0,0,0.3890647935166237,3,0.3216443103935038,9,13,0,0,0.0,0.0,0,0,21,8,0,0,0,0,1,866.2709697677699,1,1,2337.263861333256,0.0,0.0,6,0,0,0.0,0,0,2.1,1,0,0,2,0.0,0,1,0,6,9,52,0.0,0,1,3.0,1,2.0,0,0.0,0,1,0,0,1,1,0,0,16,0,0,0,0,0,1,67,82,0,1,1,0,0,0,21,0,0,2,0,1,0.1858517012452834,0,1,0,0,1,4,10,9,0,-0.1289294362068176,0.7085413484847464,0,0,0,0.0,0.0,0.0,0.0,1296.510790382344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.164562185024884,0.2310393828157533,-10.756166822200072,447.13821887608793,888.1153875437558,1586.0340209450765
9,0,0,14248,0,2,4413,4882,4413,48529,15,0,0,0,False,False,False,False,13100,1,1,3,1,7,0,2,1,253,652,559,14386,4,0,0,0,131132,28067,33557,0,0,119,0,79,9,6,14,5,4,100,9,0,132566,0,4,8102,0,147,91,417,1,0,781,781,3399,3,5,9,0,19,1,3,10,False,0,0,0,0,0,300,0,0,0.0,0,0.2731861070888863,15,5,0,0,0.0,0.0,0,0,28,2,0,0,0,0,1,653.2060956282377,0,2,2098.1393576454425,0.0,0.0,2,0,0,0.0,1,0,1.0666666666666669,0,0,0,1,0.0,0,0,0,4,27,38,0.0,0,0,3.0,0,1.0,0,0.0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,30,136,0,2,10,0,2,0,16,0,0,2,0,1,0.2091016299644739,0,0,0,0,2,5,0,6,0,-0.4771177768707275,0.5569161902673864,3,1,1,0.0,0.0,0.0,0.0,1443.0208493233902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-232.06275513863156,-0.571935317655284,-226.7437566844374,371.61497264652087,840.945094314447,1468.2723474846453
3,0,0,14777,0,11,7223,15216,7223,30739,4,5,0,1,False,False,False,True,12750,0,0,1,1,4,414,3,1,945,0,0,13539,12,0,0,0,161950,13216,16053,0,0,94,0,68,3,4,12,5,3,200,11,4,171626,0,4,7338,0,245,113,128,1,0,9675,0,466,2,2,7,0,34,5,10,7,False,0,0,6,0,0,0,0,0,0.5715376615819059,5,0.2189303168780268,4,7,0,2,0.0,0.0,0,0,19,1,0,0,0,0,1,837.8684679711906,0,0,1820.279668645729,0.0,0.0,3,0,0,0.0,0,1,1.75,0,0,1,2,0.0,0,0,0,4,8,85,0.0,0,0,83.00000002980232,0,2.0,0,0.0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,37,52,0,1,2,0,2,1,7,0,0,1,0,0,0.1582309262194467,0,1,0,0,5,2,0,11,0,0.6912640333175659,1.1276095276022686,10,1,0,1212.7949039321993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.95874144607392,-0.1318478715847866,-138.63803697140312,432.82360044495823,435.6253677161349,990.7708310238788
10,0,1,10636,0,9,11176,16764,11176,14684,3,4,0,0,True,False,False,True,11250,2,2,0,3,8,0,3,1,732,0,0,2161,12,0,0,0,106994,13588,15373,0,0,70,0,57,7,6,14,4,4,100,5,0,111797,0,2,4410,0,144,68,66,1,0,4803,1514,1304,4,5,2,0,19,4,2,6,True,0,0,0,0,0,0,0,0,0.7177321531648168,4,0.247326131573818,3,0,0,0,1.0,0.0,0,0,12,2,1,0,0,0,1,690.1666060327515,0,6,1281.857914778747,0.0,0.0,3,0,0,0.0,0,2,6.0,4,0,1,3,2.0,0,0,0,6,22,65,0.0,0,0,14.0,4,2.0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,8,48,0,4,2,0,3,1,18,0,1,10,1,0,0.1728941889958509,0,2,0,0,8,5,5,6,0,0.8047091960906982,0.9334085927841168,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.02702763254186,0.6084917766682671,11.701764935928216,560.8421898491675,706.8802162495516,881.7981985118066
0,0,0,7390,0,3,5705,5705,5705,8590,2,2,0,0,False,False,False,False,5650,0,0,0,0,1,0,0,1,821,0,0,5943,0,0,0,0,56265,6799,7082,0,0,54,0,25,1,1,3,1,4,100,8,0,56265,0,0,841,0,104,61,32,1,0,0,0,609,1,1,1,0,7,2,0,5,False,0,0,0,0,0,0,0,0,0.4879178434944724,2,0.2865302331475962,2,10,0,0,0.0,0.0,0,0,17,0,0,0,0,0,0,0.0,0,0,945.0624731756292,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0,1,0.0,0,0,0,1,19,71,0.0,0,0,12.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,54,0,1,3,0,2,0,1,0,0,1,0,0,0.3081210688967412,0,1,0,0,4,1,0,4,0,-0.284041166305542,0.4455602759852751,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1098477747341,-0.3809271981674571,-23.363534820937367,367.0233554343449,431.6540033900901,865.7205457019076
5,0,0,13499,0,2,11025,11025,11025,21572,3,1,0,0,False,False,False,False,9615,0,1,0,1,3,0,2,1,586,601,0,5285,8,0,0,0,112808,11869,16248,0,0,92,0,55,6,3,3,3,12,200,7,4,118626,0,4,4718,0,177,203,90,1,0,5217,0,2224,5,7,1,0,20,1,4,7,True,0,0,1,0,0,0,0,0,0.0,1,0.2619843295717056,3,0,0,0,1.0,0.0,0,0,10,6,0,0,0,0,1,769.9402616953173,0,0,1475.4645544260875,0.0,0.0,0,0,0,0.0,1,0,2.6666666666666665,2,0,0,0,0.0,0,0,0,1,28,73,0.0,0,0,33.0,1,2.0,0,0.0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,63,0,2,6,0,3,0,8,0,0,2,0,1,0.1649589515989255,0,2,0,0,3,7,5,8,0,-0.0298929214477539,0.8237569847658418,4,2,0,0.0,0.0,0.0,0.0,1309.4769697476563,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.85548434852959,0.1626606340898192,73.1566201818962,424.46292465738327,482.6547665030161,966.1228361764812
2,0,0,9893,0,4,0,544,0,13726,5,2,0,0,False,False,False,False,6025,0,0,2,0,0,0,0,0,555,0,0,8004,0,0,0,0,67427,7096,9757,0,0,68,0,36,4,2,12,3,4,100,3,0,81637,0,0,648,0,138,59,134,1,0,14210,0,2298,0,0,10,0,16,3,4,8,False,0,0,0,0,0,0,0,0,0.6448519761788486,2,0.30655402100233,5,2,0,0,0.0,0.0,0,0,9,0,0,0,0,0,0,0.0,0,0,1356.6386709045782,0.0,0.0,1,0,0,0.0,0,0,0.4,0,0,0,0,0.0,0,0,0,1,14,50,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,34,0,0,5,0,0,0,2,0,0,2,0,0,0.1765989094904856,0,0,0,0,0,0,0,6,0,-0.3239309787750244,0.7253321143535847,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.29769416413504,-0.2211347844005996,-87.17133201071638,277.6126083365128,313.83448602133103,887.1927550152058
6,0,3,21405,0,2,5738,18369,5738,54529,7,0,0,0,False,False,False,False,15550,0,0,1,1,6,0,3,1,552,0,0,18868,8,0,0,0,236517,24357,36704,0,0,135,0,123,11,5,12,5,4,200,9,0,240405,0,4,16797,0,280,225,228,1,0,3887,0,5919,2,2,7,0,18,0,4,5,True,0,0,0,1,0,1100,0,0,0.0,0,0.2495241964931731,7,3,0,1,0.0,0.0,0,0,18,1,0,0,0,0,0,0.0,0,1,2296.4992090962483,0.0,0.0,5,0,0,0.0,0,0,1.7142857142857142,0,0,1,2,0.0,0,0,0,5,11,71,0.0,0,1,11.25,17,1.0,0,0.0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,1,21,47,0,2,5,0,10,0,12,0,0,1,0,1,0.1982531494619237,0,2,0,0,1,2,5,13,0,-0.2567281126976013,0.4824144067634363,4,2,0,2255.657722858658,0.0,0.0,0.0,2017.444909495597,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.810591586026007,-0.3396474063263261,-4.833443859259257,438.4586748437235,636.3686058377174,1606.5844853706496
8,0,8,18309,0,5,7372,10987,7372,36757,1,1,2,0,False,True,False,False,14305,0,1,0,2,10,0,8,3,476,15366,2417,11233,12,0,0,0,155398,19514,14034,0,0,101,0,76,9,4,12,3,4,200,15,0,172555,0,2,6768,0,211,261,21,1,1,1790,494,5322,2,4,1,0,27,3,2,12,True,0,0,0,1,0,450,0,0,0.4351648846698505,1,0.2597491292635718,1,0,0,0,0.0,0.0,0,0,22,3,0,0,0,0,1,747.8030225528494,0,5,1832.8793007353777,0.0,0.0,3,0,0,0.0,0,0,18.0,0,0,1,2,0.0,0,2,0,6,16,65,0.0,1,0,10.0,2,2.0,0,0.0,0,0,3,1,0,3,0,0,10,0,0,0,0,0,2,1,58,0,5,4,0,4,0,18,0,0,5,1,2,0.2327145061931693,0,1,0,0,2,4,5,10,0,-0.0800455212593078,0.9137427841640098,2,2,0,0.0,0.0,0.0,1544.2443851933629,1306.4017782476255,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1786.6735690709354,0.0,0.0,157.19529370231967,0.2946184180176753,83.08239388098445,510.9665429819883,734.1236269404875,1001.3752674622988
9,0,9,10414,0,4,11731,22039,11731,12525,0,3,0,0,False,True,False,False,9025,1,2,0,1,9,0,9,1,0,0,0,3879,8,0,0,0,85962,9479,13098,0,0,66,0,53,7,5,14,2,12,200,7,0,87707,0,0,2273,0,137,173,0,1,0,1744,319,338,5,7,0,0,16,3,1,7,True,0,0,0,0,0,0,0,0,0.5254303183258443,3,0.2821324235382556,0,3,0,0,1.0,0.0,0,0,14,0,0,0,0,0,1,796.2218989684263,0,4,1233.5479151840836,0.0,0.0,7,0,0,0.0,0,0,18.0,0,0,1,6,0.0,0,1,0,8,8,66,1.0,1,0,63.0,0,4.0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,1,19,22,0,2,4,0,0,0,18,0,0,9,0,0,0.1667072512617102,0,2,0,0,4,7,10,6,0,1.196241855621338,0.8073826670444744,1,1,0,0.0,0.0,0.0,1076.7888550809262,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.5137048760122,0.8755233474970694,225.7391030963277,499.2428688172178,476.6251823402102,842.3021004781529
0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,1,0,0,0,0,12,1,4,100,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,104.0551292,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.30870934135555,0.0,0.0
1,0,0,6220,0,5,1648,1648,1648,10489,5,0,0,0,False,False,False,False,3700,0,0,0,0,0,0,0,0,298,0,0,3850,0,0,0,0,32631,9729,10471,0,0,51,0,30,2,3,14,2,12,200,3,0,33143,0,0,587,0,73,44,113,1,0,512,512,342,0,0,3,0,3,0,0,3,False,0,0,0,0,0,0,0,0,0.0,0,0.28690679208564,5,0,0,0,0.0,0.0,0,0,8,0,0,0,0,0,0,0.0,0,0,911.267269,0.0,0.0,0,0,0,0.0,0,0,0.2,0,0,0,0,0.0,0,0,0,0,9,50,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,34,0,0,3,0,1,0,1,0,0,1,0,0,0.4155557525162701,0,0,0,0,2,0,0,3,0,-0.6570033431053162,0.2233895247073463,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.15679543187892,-0.3292118681374476,-143.7997440024371,279.6984031695755,674.2917483191202,965.5125668735064
