assists,baronKills,bountyLevel,champExperience,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,goldSpent,inhibitorKills,inhibitorTakedowns,inhibitorsLost,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,objectivesStolen,objectivesStolenAssists,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamId,timeCCingOthers,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageShieldedOnTeammates,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.controlWardsPlaced,challenges.damageTakenOnTeamPercentage,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.firstTurretKilled,challenges.firstTurretKilledTime,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.highestCrowdControlScore,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.mejaisFullStackInTime,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.soloBaronKills,challenges.soloKills,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,challenges.earliestDragonTakedown,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.fastestLegendary,challenges.earliestBaron,challenges.highestChampionDamage,challenges.shortestTimeToAceFromFirstTakedown,challenges.soloTurretsLategame,challenges.teleportTakedowns,challenges.highestWardKills,challenges.fasterSupportQuestCompletion,challenges.baronBuffGoldAdvantageOverThreshold,challenges.thirdInhibitorDestroyedTime,challenges.earliestElderDragon,challenges.hadAfkTeammate,GDM,KPDM,XPDM,GPM,DPM,DTPM
1,0,0,6942,0,2,0,2839,0,10700,7,1,0,0,False,False,False,False,5625,0,0,3,0,2,0,0,1,274,61839,6284,9158,96,0,0,0,10454,430,12158,0,0,332,9,66,3,16,11,4,4,100,4,70,97360,0,6,7712,0,7,125,172,1,0,25066,708,0,0,0,9,0,22,1,1,8,False,0,0,48,0,0,0,1,0,0.0,1,0.2809222524528988,7,4,0,0,0.0,0.0,0,0,2,3,0,0,0,0,0,0.0,0,0,1341.7290258053283,0.0,0.0,1,2,1,56.000000059604645,0,0,0.4285714285714285,0,0,0,0,0.0,0,0,0,0,7,5,0.0,0,0,8.0,0,1.0,0,-34.50000008940697,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,28,31,0,1,7,1,2,0,3,0,0,3,0,0,0.1435879975549671,0,0,0,0,0,0,0,0,0,0.1374341249465942,0.9902331881829984,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-222.1611027763876,-0.2683105105995019,-304.8007400410342,308.55708718942725,331.9448200300172,953.2625257415972
5,1,0,11038,0,2,0,12319,0,20614,7,1,0,1,False,False,False,False,9475,0,0,1,1,5,0,2,1,585,106873,15899,7338,113,0,0,0,12253,442,21084,0,0,478,37,85,7,16,11,4,4,200,11,95,149151,0,0,9718,0,9,149,234,1,0,30024,1219,1394,0,0,8,0,13,1,3,2,False,0,0,69,1,0,525,0,0,0.1686014893971573,1,0.2708651736182541,7,9,0,1,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,1,1657.459687919472,0.0,0.0,4,1,1,48.000000059604645,0,0,1.4285714285714286,1,0,0,0,0.0,0,1,0,0,6,4,0.0,0,0,4.0,0,1.0,0,-51.50000008940697,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2,50,43,0,0,1,0,11,0,10,0,0,3,0,1,0.256681231006361,0,0,0,0,0,0,0,0,0,-0.5535733699798584,0.4965303794885263,3,1,0,740.7297899784037,0.0,0.0,0.0,1410.239526195962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-161.56049040090448,-0.3981997298700312,-143.20710285144034,345.92696533072893,635.7439687252263,1079.3746677758838
4,0,9,12446,0,1,1792,36926,1792,11269,3,1,1,2,True,False,False,False,10275,0,0,0,2,13,0,9,2,516,114853,16443,5163,120,0,0,0,13312,289,13229,0,0,445,38,90,5,3,4,14,11,200,12,83,162197,0,4,9625,0,19,133,49,1,0,34031,1199,112,2,2,2,0,17,1,2,7,True,0,0,63,1,0,0,0,0,0.0725374062083406,1,0.2592661783351733,2,9,0,2,0.0,0.0,0,0,8,1,1,0,0,0,1,823.8939919065893,0,3,1459.8266812644574,0.0,0.0,6,2,1,60.00000008940697,0,0,5.666666666666667,0,0,2,8,0.0,0,2,0,0,8,1,0.0,1,0,16.40000006556511,1,2.0,0,-37.000000059604645,0,0,1,0,1,2,0,0,15,0,0,1,2,0,3,52,28,0,2,6,0,5,0,17,0,0,8,0,1,0.2457474807966224,0,2,0,0,1,2,0,0,0,-0.005683958530426,0.729002212698666,2,1,0,748.177477585358,0.0,1.0,1401.48513743402,1298.7634576236392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.3255069313458,0.6165115431514427,149.77120421625716,481.2489105840162,737.0189994527781,760.5697404011632
6,1,10,16372,0,10,1714,45468,1714,18339,2,8,1,3,True,False,False,False,13855,0,0,0,1,11,0,10,2,1577,181220,21705,10560,177,0,0,0,13895,426,17890,0,0,612,59,110,8,4,4,15,11,100,11,100,239051,0,27,18272,0,37,231,20,1,0,43935,1056,1214,2,2,1,0,54,9,5,18,True,0,0,60,1,0,750,1,0,0.8283869147072013,8,0.2716190946861123,2,0,0,3,0.0,0.0,0,0,5,17,0,1,0,0,1,952.860727941238,0,1,1836.49996312547,0.0,0.0,4,1,2,55.750000059604645,0,0,8.5,1,0,1,5,0.0,0,0,0,0,16,1,0.0,1,0,55.74999985098839,2,2.0,0,-37.00000008940697,0,0,1,0,0,4,0,0,10,0,0,2,1,0,6,4,37,0,5,4,0,0,0,17,0,1,11,0,1,0.2311578451320626,0,1,0,0,0,2,5,1,0,1.1327154636383057,1.7750738278596203,5,3,0,1104.0691933449457,1.0,4.0,928.1503484833164,1489.128595171641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.01606390686086,-0.0653416838603015,95.92159190692274,472.35503262612025,757.5714826763367,969.2131966998536
6,0,3,6367,0,2,0,15824,0,6134,2,1,0,2,True,False,False,False,5225,0,0,0,1,4,0,3,1,237,55749,6916,2717,88,1,0,0,9075,660,9409,0,0,333,17,63,1,8,11,2,4,100,11,51,85273,0,10,7013,0,1,119,24,1,0,20448,286,246,0,0,0,0,11,1,0,6,True,0,0,33,0,0,0,1,0,0.0,1,0.3415426882969247,2,0,0,2,0.0,0.0,0,0,6,9,1,0,1,1,1,657.137021243919,0,0,919.0509309681923,0.0,0.0,3,2,0,52.000000059604645,0,0,5.0,0,0,1,1,0.0,0,0,0,0,6,0,1.0,0,0,12.000000029802322,0,2.0,0,-25.7000000178814,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,6,20,0,2,5,0,0,0,10,0,0,10,0,0,0.2610487051482014,0,1,0,0,1,0,0,0,0,0.1945573091506958,0.7725428417863337,0,0,0,405.5558023995824,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.84514956107392,0.5222779106423782,96.03385081936727,430.81399154113166,513.3339014226274,807.7027888084377
10,1,5,14368,0,5,3666,25027,3666,13839,6,4,1,3,False,False,False,False,10135,0,1,0,2,12,0,5,2,495,121104,18541,8029,123,0,0,0,15546,430,19047,0,0,478,23,88,9,16,11,4,4,200,11,79,166105,0,16,11683,0,28,104,158,1,0,29454,792,860,1,4,4,0,29,4,5,7,True,0,0,54,1,0,550,1,0,0.4084536997473874,4,0.2292933493142878,6,10,0,3,0.0,0.0,0,0,9,6,0,0,0,0,1,751.7625730127141,0,2,1724.7164534971023,0.0,0.0,8,2,1,51.50000008940697,1,0,3.6666666666666665,1,0,2,3,0.0,0,0,0,0,5,2,0.0,0,0,10.0,13,1.0,0,-30.500000059604645,0,0,1,0,0,0,0,0,18,0,0,0,0,0,2,53,29,0,1,2,0,0,0,22,0,0,6,0,1,0.1819974621794381,0,0,0,0,0,4,0,0,0,-0.0319077372550964,1.011836640359861,6,3,0,580.8490151242997,0.0,0.0,0.0,1546.9676446046146,0.0,25.48202589967445,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.361348004375078,-0.0695766540388034,42.30260565559252,477.295846706192,687.5912835384755,971.8814919410266
9,2,2,15291,0,4,1111,43103,1111,24980,3,3,0,3,False,True,False,False,12660,0,1,0,3,13,0,6,1,665,152073,22829,11204,159,0,0,0,16218,803,21544,0,0,604,50,103,8,16,11,4,4,200,19,110,215511,0,9,19472,0,10,197,85,1,0,47219,583,990,1,2,2,0,19,3,0,8,True,0,0,77,2,0,0,1,0,0.6226702727265229,3,0.3658745522137588,3,1,0,3,0.0,0.0,0,0,11,5,1,0,0,0,1,774.7444252848657,0,1,1737.551010097554,0.0,0.0,6,2,1,49.00000008940697,0,0,7.333333333333333,4,0,2,0,0.0,0,0,0,1,6,3,0.0,0,0,4.750000029802322,0,2.0,0,-47.000000059604645,0,0,0,0,0,1,0,0,17,0,0,0,1,0,2,11,40,0,3,1,0,0,0,22,0,0,9,3,2,0.3088336969965847,0,1,0,0,0,2,0,0,0,-0.2693228721618652,0.6880494468392137,0,0,0,922.0392083292468,1.0,1.0,0.0,1240.1252747536814,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1586.9057280297793,0.0,0.0,100.31360172281448,0.4834390444472986,73.62086019726006,466.3460210900549,836.211421452556,1165.053565757672
5,1,0,14972,0,1,522,21353,522,14282,5,0,2,1,False,False,False,False,12835,0,0,0,2,11,0,7,2,544,142815,24565,9477,127,0,0,0,13824,491,14715,0,0,451,27,94,9,4,4,14,11,100,14,99,189771,0,8,10149,0,16,171,139,1,0,33131,454,660,1,1,3,0,30,0,9,7,True,0,0,81,1,0,375,1,0,0.0,0,0.222965259029528,5,3,0,1,0.0,0.0,0,0,9,2,0,0,0,0,0,0.0,0,0,1859.345665017196,0.0,0.0,5,2,1,52.00000008940697,0,0,3.2,1,0,1,6,0.0,0,0,0,0,7,3,0.0,0,0,25.00000002980232,4,2.0,0,-36.000000059604645,0,0,2,0,0,3,0,0,10,0,0,4,0,0,2,18,27,0,4,7,1,0,0,16,0,0,4,0,1,0.2224497981312319,0,1,0,0,0,1,0,0,0,0.0243477821350097,0.980877558221079,9,5,0,1666.0027849784512,0.0,1.0,0.0,1413.627973485302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.7141501684042,0.1613470833553832,57.11686750780567,419.5992249740096,823.2573581125074,802.024081942939
5,1,7,13068,0,4,247,49196,247,16394,0,3,0,2,True,False,False,False,8375,0,0,0,1,7,0,7,1,0,131416,12162,2718,140,0,0,0,15677,522,22839,0,0,554,16,111,6,16,11,3,4,200,11,92,197677,0,2,15740,0,18,178,0,1,0,50583,404,170,1,2,0,0,27,3,3,5,True,0,0,68,1,0,0,0,0,0.7702017194763167,3,0.2901521449823305,0,0,0,2,0.0,0.0,0,0,5,2,1,1,0,0,1,876.2093884252531,0,0,1486.40240528835,0.0,0.0,3,2,1,59.75000008940697,0,0,12.0,0,0,1,6,0.0,0,1,0,0,5,1,0.0,0,0,4.000000029802322,2,2.0,0,-43.80000007152557,0,0,0,0,0,1,0,0,10,0,0,1,2,0,4,6,26,0,2,2,0,0,0,12,0,0,7,0,1,0.1651266367479755,0,2,0,0,2,2,5,0,0,-0.0110546946525573,1.0995818074439483,3,3,0,958.7989718449122,0.0,1.0,0.0,1382.7871282555616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,112.2979883550571,0.4440251157101467,92.96271286186072,429.2108232132718,528.3495217754645,1038.574745646033
5,0,0,10471,0,2,0,12935,0,17519,8,1,0,0,True,False,False,False,6975,0,0,0,1,2,0,2,1,283,84060,9996,7138,102,0,0,0,11131,342,18824,0,0,416,35,77,6,3,4,14,11,200,11,82,123857,0,8,9400,0,9,164,194,1,0,28665,649,1181,0,0,8,0,18,1,3,9,False,0,0,54,0,0,0,0,0,0.8057227611058315,1,0.2593241920967232,8,3,0,0,0.0,0.0,0,0,8,4,0,0,0,0,1,827.4786157975169,0,1,1640.0315745056148,0.0,0.0,2,1,0,48.000000059604645,0,0,0.875,0,0,0,0,0.0,0,1,1,0,6,4,0.0,0,0,8.0,0,1.0,0,-30.500000089406967,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,19,38,0,0,6,0,2,0,7,0,0,3,0,0,0.152519213170799,0,1,0,0,0,0,5,0,0,-0.5496562719345093,0.6872817977402265,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.4473025926841,-0.5121852609778057,-171.83815505805384,287.0432541165617,402.0288452060791,993.0540517129684
14,1,5,15101,0,3,821,19093,821,16328,3,2,0,1,False,False,False,False,10900,1,1,0,3,9,0,5,1,543,148161,20110,5197,137,0,0,0,15616,833,17632,0,0,526,35,97,8,4,4,17,11,200,15,113,197456,0,7,10764,0,26,183,80,1,0,33678,934,492,1,2,4,0,29,2,7,9,True,0,0,81,1,0,300,0,0,0.5250492615032467,2,0.2790662749415816,3,4,0,1,0.0,0.0,0,0,13,8,0,0,0,0,0,0.0,0,4,1670.2920757075342,0.0,0.0,10,2,0,50.000000059604645,0,0,7.666666666666667,1,0,1,0,0.0,0,0,0,0,4,2,0.0,0,0,2.0,1,2.0,0,-45.500000059604645,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,27,30,0,2,2,0,2,0,23,0,0,7,1,1,0.2308704711114218,0,0,0,0,0,2,0,0,0,0.0219465494155883,1.0669660437822532,7,4,1,643.6232368665949,0.0,1.0,0.0,1310.3456277484809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4844205301846105,0.395140472495162,109.74128577024727,439.8272677482512,785.8984779317414,837.7696454120154
12,1,7,13080,0,2,610,27968,610,15432,3,1,1,1,False,False,False,False,9410,0,0,0,2,10,0,7,2,585,101795,21731,6010,127,0,0,0,11847,802,17744,0,0,484,32,80,7,16,11,2,4,100,15,65,150868,0,22,13305,0,16,156,54,1,0,37224,738,259,1,2,2,0,18,1,2,4,True,0,0,37,1,0,0,3,0,0.5064204272987921,1,0.2522578700791831,3,3,0,1,0.0,0.0,0,0,8,9,0,1,0,0,1,666.548537010856,1,4,1469.3765787163773,0.0,0.0,5,3,2,52.000000059604645,0,0,7.333333333333333,3,0,2,4,0.0,0,0,0,0,10,1,0.0,0,0,14.499999910593033,2,2.0,0,-37.00000008940697,0,0,1,0,0,1,0,0,14,0,0,0,2,0,5,21,37,0,2,3,0,10,0,22,0,0,6,0,1,0.2601447693510463,0,2,0,0,1,2,5,0,0,0.1315701007843017,0.759652370171102,2,2,0,1218.0323515446837,0.0,1.0,0.0,1277.020292039008,0.0,6.806070162806918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.84976640992424,0.3266691513616747,117.39672627060186,470.852748043934,950.2805613111118,980.5791250999072
0,0,2,2871,0,3,0,1393,0,2367,1,2,1,0,False,False,False,False,3385,0,0,0,1,2,0,2,2,221,25806,1854,981,44,0,0,0,5155,300,4028,0,0,180,14,30,2,4,11,2,4,100,5,35,40750,0,0,2615,0,18,109,10,1,0,9788,150,0,0,0,0,0,9,2,1,3,False,0,0,30,0,0,0,0,0,0.4712106424747548,2,0.2049830841785916,1,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0,0,618.4156820408244,0.0,0.0,0,1,1,44.00000008940697,0,0,2.0,0,0,0,0,0.0,0,0,0,0,3,17,0.0,0,0,10.000000029802322,0,1.0,0,-45.000000059604645,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,9,0,0,1,0,0,0,2,0,0,2,2,0,0.1648054022576723,0,0,0,0,0,0,0,0,0,0.0279492139816284,0.9196173450548892,1,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-102.940468440122,-0.2910663575121263,-78.78196076661551,351.99624835133136,223.6359846884837,486.08081704525085
3,0,3,16795,0,2,0,16143,0,20050,6,1,2,0,False,True,False,False,16225,0,0,2,5,16,0,5,2,652,163219,32030,16419,138,0,0,0,15832,986,17980,0,0,534,48,98,10,19,11,6,4,100,11,105,215331,0,12,15651,0,16,121,205,1,0,36278,929,1018,0,0,8,0,22,1,1,12,False,0,0,82,1,0,1050,2,0,0.0,1,0.2397780060846344,6,0,0,0,0.0,0.0,0,0,6,3,0,1,0,0,1,920.9354527476888,0,1,2013.2831006432905,0.0,0.0,4,1,1,44.00000008940697,0,0,3.1666666666666665,1,0,3,0,0.0,0,2,1,0,9,0,0.0,0,0,8.000000029802322,0,1.0,0,-32.0,0,0,2,1,0,3,0,0,13,0,0,0,1,0,2,9,48,0,6,6,0,0,0,19,0,0,5,0,1,0.3348289347782349,0,1,0,0,1,0,0,0,0,-0.5661677122116089,0.6771129703354941,1,1,0,0.0,0.0,3.0,0.0,1334.5996826504693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.206475815364726,-0.3576248167830661,9.62606798507753,480.5285454841799,1011.6610025431636,1055.5296467352196
5,0,0,10506,0,4,0,8803,0,15474,6,2,0,0,False,False,False,False,9225,0,0,2,2,8,0,2,1,314,98388,19410,7368,102,0,0,0,9423,560,17928,0,0,413,27,67,8,14,11,4,4,100,12,84,134267,0,0,8585,0,11,116,123,1,0,26455,859,908,1,1,9,0,19,3,0,11,False,0,0,60,0,0,150,0,0,0.6441989185025834,2,0.2603207588168417,6,3,0,0,0.0,0.0,0,0,7,0,0,0,0,0,1,738.9375043717326,0,0,1627.8696193475398,0.0,0.0,3,3,1,40.000000059604645,1,1,2.1666666666666665,1,0,0,0,0.0,0,1,1,0,12,0,0.0,0,0,4.800000011920929,0,1.0,0,-50.500000059604645,0,0,0,0,0,3,0,0,9,0,0,0,1,0,2,24,48,0,3,7,0,4,0,13,0,0,7,0,0,0.2635378804910551,0,1,0,0,1,1,5,0,0,-0.561298131942749,0.7188817155515935,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.74375306187808,-0.2211479320710526,-119.89903717118902,375.1774667585408,767.7519041733376,965.9004513090008
6,0,0,15180,0,5,371,29683,371,20176,8,3,1,1,False,False,False,False,15560,0,0,4,2,18,0,8,2,720,158001,31155,15242,121,0,0,0,11298,541,21549,0,0,549,60,94,11,18,11,6,4,200,11,81,202971,0,15,12020,0,25,161,293,1,0,33670,1174,1727,0,1,11,0,26,3,1,14,False,0,0,56,0,0,525,2,0,0.6170571669094542,3,0.2161875365090659,8,6,0,1,0.0,0.0,0,0,3,8,0,1,0,0,1,853.725498,0,0,2071.1289001,0.0,0.0,1,3,1,44.00000002980232,0,0,3.0,2,0,2,2,0.0,0,0,1,0,14,1,0.0,1,0,7.999999970197678,0,2.0,1,-38.500000059604645,1,0,1,1,0,5,0,0,15,0,0,0,1,0,3,34,72,0,7,5,0,2,0,24,0,0,9,0,0,0.2606968325282663,0,1,0,0,0,1,5,0,0,-0.2035577297210693,0.7777063304388852,1,1,0,676.3550653,0.0,2.0,1317.9722654,0.0,0.0,37.12699599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.356125637020654,0.0289697082577057,-71.0047549396368,453.5207827743835,952.2922498473034,1115.8841923785678
13,0,3,17509,0,5,3237,28859,3237,20358,6,3,1,2,False,False,False,False,14210,0,1,2,3,12,0,5,2,579,154626,31875,3769,108,1,0,0,10371,342,21222,0,0,523,47,92,11,18,11,6,4,200,15,89,203741,0,2,10793,0,46,153,157,1,0,38743,1750,1268,3,4,8,0,27,3,2,14,True,0,0,63,1,0,900,0,0,0.504595335075087,3,0.1899710520834454,6,3,0,2,0.0,0.0,0,0,8,2,1,0,1,1,0,0.0,1,2,2066.2594446,0.0,0.0,6,2,1,44.80000004172325,0,0,4.166666666666667,1,0,2,2,0.0,0,2,0,0,11,4,0.0,0,1,1.399999976158142,9,2.0,0,-35.500000059604645,0,0,1,1,0,2,0,0,18,0,0,1,0,0,1,22,61,0,1,6,0,2,0,25,0,0,5,0,1,0.273553848769647,0,0,0,0,0,4,0,1,0,-0.1142460703849792,0.7874111177696159,2,0,1,719.0196105,0.0,1.0,0.0,1933.5936671,0.0,14.5253831,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8711393937988536,0.2903797979329512,108.16647473002432,432.6949368998906,986.3620976186488,762.5373493719298
11,1,7,16144,0,2,4206,32258,4206,19614,3,1,1,1,False,False,False,False,11575,2,2,0,3,12,0,7,4,686,159308,28731,13596,148,0,0,0,14019,900,18827,1,0,589,46,96,9,19,11,3,4,100,18,85,214065,0,25,16349,0,10,169,82,1,1,40738,1236,541,3,3,1,0,29,1,1,11,True,0,0,67,1,0,300,1,0,0.1880067086319415,1,0.2422132902043266,2,3,0,1,0.0,0.0,0,0,9,18,0,1,0,0,0,0.0,1,0,1798.0066971014708,0.0,0.0,7,2,1,52.00000008940697,0,0,7.666666666666667,2,0,2,5,0.0,0,0,0,0,0,0,0.0,0,0,31.250000089406967,6,3.0,0,-39.00000002980232,0,0,3,0,1,6,0,0,18,0,0,0,1,0,5,16,41,0,1,8,0,0,0,23,0,0,5,0,1,0.2678015777346692,0,1,0,0,0,3,0,0,1,0.1267182826995849,0.9788393131906148,1,0,1,1087.2770760843491,0.0,2.0,0.0,1560.2384330827765,1.0,14.693866014633612,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,149.1318138204173,0.4338137345413795,181.56773304920355,471.35530772284505,1030.040657237597,1100.0848902223936
9,1,2,14810,0,3,1443,37145,1443,17492,5,2,2,3,False,False,False,False,11950,1,1,0,3,10,0,4,2,372,153823,23816,3999,151,0,0,0,12973,579,22361,0,0,560,37,104,7,17,11,5,4,100,12,99,204972,0,11,12943,0,10,132,132,1,0,38174,596,1214,1,2,3,0,29,2,1,13,True,0,0,76,1,0,450,2,0,0.5165589036838589,2,0.2705594605614968,5,1,0,4,0.0,0.0,0,0,8,6,0,1,0,0,1,889.1991420012621,0,0,1781.3919183893802,0.0,0.0,4,2,1,51.20000007748604,0,0,3.8,3,0,2,5,0.0,0,0,0,0,12,2,0.0,0,0,20.700000166893005,8,2.0,0,-23.30000001192093,0,0,2,1,0,1,1,0,14,0,0,0,0,0,5,10,38,0,2,11,0,0,0,19,0,0,9,0,1,0.290334544857001,0,0,0,0,0,2,0,0,0,-0.1460429430007934,1.0089219157398297,1,1,0,600.0024185148296,1.0,3.0,0.0,1536.4504546594997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.96718264422866,0.1010445810053659,96.83439013014238,454.2964362001254,841.768722828702,928.7681070743222
14,0,0,16969,0,4,0,12069,0,26781,11,1,1,1,False,False,False,False,14325,0,0,3,4,15,0,5,2,520,151708,37529,12902,143,0,0,0,10792,1005,28001,0,0,518,47,117,13,26,11,6,4,200,14,90,206227,0,16,14809,0,20,201,367,1,0,43725,1270,1644,0,0,10,0,19,1,2,6,False,0,0,68,0,0,600,1,0,0.0,1,0.2033613343712865,11,9,0,1,0.0,0.0,0,0,8,16,0,0,0,0,1,983.8645342781332,0,4,2250.041256928236,0.0,0.0,5,2,1,46.40000003576279,0,0,2.636363636363636,0,0,1,4,0.0,0,1,1,0,7,3,1.0,0,0,13.799999922513962,0,2.0,0,-48.600000113248825,1,0,1,0,0,4,0,0,17,0,0,1,1,0,5,51,48,0,4,1,0,0,0,29,0,0,9,0,0,0.259578041681014,0,1,0,0,1,0,0,0,0,-0.3235419392585754,0.5190660030249616,2,2,0,1113.8563211355845,0.0,3.0,0.0,0.0,0.0,16.282120020984394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.85210750551032,-0.1599970662277869,-64.31882062357036,430.8987655291349,1061.447203532843,1134.5925289766465
